scenario,mode,audio_backend,n_reps,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mean_time_to_alert_s_mean,mean_time_to_alert_s_std,false_alerts_per_hour_mean,false_alerts_per_hour_std,coord_messages_mean,coord_messages_std,mean_allocation_ms_mean,mean_allocation_ms_std,wall_seconds_mean,wall_seconds_std
combined_audio_video_01,mas-auction-visiononly,auto,5,0.4,0.224,0.4,0.224,0.4,0.224,23.747,0.045,70.72,18.604,0,0.0,,,60.0,5.143
combined_audio_video_01,mas-nocoord,auto,5,0.4,0.224,0.4,0.224,0.4,0.224,17.735,11.824,73.92,28.519,0,0.0,,,58.66,2.147
combined_audio_video_01,mas-nocoord,dsp,3,0.333,0.0,0.5,0.0,0.4,0.0,7.977,13.816,105.633,18.153,0,0.0,,,69.5,11.701
combined_audio_video_01,mas-nocoord-visiononly,auto,5,0.2,0.274,0.2,0.274,0.2,0.274,23.68,0.057,99.6,33.962,0,0.0,,,57.82,0.268
combined_audio_video_01,mas-rules,auto,5,0.2,0.274,0.2,0.274,0.2,0.274,12.0,16.971,97.26,37.985,0,0.0,,,60.7,6.708
combined_audio_video_01,mas-rules,dsp,3,0.222,0.192,0.333,0.289,0.267,0.231,11.895,16.822,135.4,25.883,0,0.0,,,61.667,3.902
combined_audio_video_01,mas-rules-visiononly,auto,5,0.3,0.274,0.3,0.274,0.3,0.274,23.68,0.105,84.66,30.852,0,0.0,,,59.1,3.13
demo_site_01,centralized,auto,5,0.933,0.149,0.667,0.0,0.773,0.059,15.07,3.107,7.36,16.457,0,0.0,,,67.46,17.437
demo_site_01,centralized,dsp,3,0.667,0.0,0.667,0.0,0.667,0.0,17.467,0.871,67.2,0.693,0,0.0,,,53.533,0.577
demo_site_01,centralized-visiononly,auto,5,0.8,0.182,0.667,0.0,0.72,0.073,14.072,2.348,19.58,18.38,0,0.0,,,92.98,29.992
demo_site_01,mas-auction,auto,5,0.667,0.0,0.667,0.0,0.667,0.0,2.96,0.14,52.64,5.928,5,0.0,1519.58,172.844,69.16,8.633
demo_site_01,mas-auction,dsp,3,0.556,0.096,0.667,0.0,0.603,0.055,4.617,0.144,69.0,9.456,10,0.0,1653.667,49.051,85.1,20.104
demo_site_01,mas-auction-visiononly,auto,5,0.667,0.0,0.667,0.0,0.667,0.0,2.63,0.231,51.74,5.269,5,0.0,1443.22,75.029,70.24,7.282
demo_site_01,mas-nocoord,auto,5,0.767,0.224,0.8,0.182,0.781,0.204,5.598,3.137,29.76,36.473,0,0.0,,,116.8,107.084
demo_site_01,mas-nocoord,dsp,3,0.667,0.144,0.889,0.192,0.762,0.165,6.85,3.248,77.6,33.602,0,0.0,,,61.9,0.0
demo_site_01,mas-nocoord-visiononly,auto,5,0.88,0.268,0.933,0.149,0.9,0.224,7.498,2.642,21.6,48.299,0,0.0,,,69.54,17.028
demo_site_01,mas-rules,auto,5,0.6,0.091,0.667,0.0,0.629,0.053,3.64,0.269,61.42,21.355,2,0.0,640.32,81.089,81.12,4.234
demo_site_01,mas-rules,dsp,3,1.0,0.0,1.0,0.0,1.0,0.0,8.803,0.058,0.0,0.0,4,0.0,201.0,29.014,61.9,0.0
demo_site_01,mas-rules-visiononly,auto,5,0.634,0.075,0.667,0.0,0.648,0.043,2.776,0.273,52.92,12.623,2,0.0,547.94,72.912,79.96,8.635
fight_01,centralized,auto,5,1.0,0.0,1.0,0.0,1.0,0.0,7.514,0.293,0.0,0.0,0,0.0,,,11.46,0.72
fight_01,mas-auction,auto,5,0.2,0.447,0.2,0.447,0.2,0.447,8.77,,198.42,112.317,4,0.0,1416.54,124.875,14.32,1.31
fight_01,mas-nocoord,auto,5,0.8,0.447,0.8,0.447,0.8,0.447,8.23,0.571,40.56,90.695,0,0.0,,,14.4,2.27
fight_01,mas-rules,auto,5,0.4,0.548,0.4,0.548,0.4,0.548,8.555,0.233,131.84,122.099,2,0.0,584.9,334.966,15.52,2.26
intrusion_01,centralized,auto,5,0.7,0.274,0.5,0.0,0.567,0.091,10.99,10.231,28.08,26.646,0,0.0,,,72.12,17.987
intrusion_01,centralized,dsp,3,0.389,0.096,0.5,0.0,0.433,0.058,9.14,8.647,87.3,20.854,0,0.0,,,68.2,18.026
intrusion_01,centralized-visiononly,auto,5,0.5,0.0,0.5,0.0,0.5,0.0,18.01,1.578,43.66,4.808,0,0.0,,,83.34,10.159
intrusion_01,mas-auction,auto,5,0.3,0.274,0.3,0.274,0.3,0.274,15.937,13.802,79.24,34.229,0,0.0,,,64.86,6.619
intrusion_01,mas-auction,dsp,3,0.833,0.289,0.833,0.289,0.833,0.289,15.827,6.914,19.4,33.602,5,0.0,1280.233,32.226,61.9,0.0
intrusion_01,mas-auction-visiononly,auto,5,0.4,0.224,0.4,0.224,0.4,0.224,17.712,11.808,66.64,28.666,0,0.0,,,66.58,10.465
intrusion_01,mas-nocoord,auto,5,0.267,0.253,0.3,0.274,0.28,0.259,15.837,13.715,84.68,29.684,0,0.0,,,68.92,15.697
intrusion_01,mas-nocoord,dsp,3,0.444,0.193,0.667,0.289,0.533,0.231,3.937,6.819,96.767,33.402,0,0.0,,,62.0,0.173
intrusion_01,mas-nocoord-visiononly,auto,5,0.233,0.325,0.3,0.447,0.26,0.371,15.31,11.611,89.98,36.6,0,0.0,,,66.44,10.152
intrusion_01,mas-rules,auto,5,0.367,0.217,0.4,0.224,0.38,0.217,5.928,11.855,73.82,25.315,0,0.0,,,67.96,13.551
intrusion_01,mas-rules,dsp,3,0.444,0.096,0.5,0.0,0.467,0.058,15.857,13.732,77.6,33.602,2,0.0,324.1,173.84,61.9,0.0
intrusion_01,mas-rules-visiononly,auto,5,0.267,0.253,0.3,0.274,0.28,0.259,20.34,5.603,86.18,29.208,0,0.0,,,67.14,11.717
loitering_01,centralized,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,53.1,1.907
loitering_01,mas-auction,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,57.92,0.492
loitering_01,mas-nocoord,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,57.82,0.268
loitering_01,mas-rules,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,57.88,0.303
